I1,I2,I3,I4,Amm,Contract,Dep,Sprc,PRC,ZIP,SPECcode,SpecNum
11,181,300,923,32014.15,5432,0,0,0,60000,0,0
22,175,7,305,4717.32,55318,4,6,0,17108,53,30
250,175,0,0,2488.13,44045,4,6,0,60644,53,30
11,171,93,753,12353.5,29153,2,22,1,60634,712,11
184,188,0,0,16600.86,30528,3,2,2,60606,687,11
1,116,109,184,6823.98,30545,12,12,1,60139,487,12
1,118,101,919,46393.2,31761,11,12,1,49727,484,12
138,184,0,0,107331.28,29707,12,7,0,60693,257,12
188,179,0,0,44998.87,24387,11,2,2,60603,7,90
11,181,42,799,22141.81,28466,0,0,0,60000,298,10
11,171,71,135,215,28295,7,12,1,60628,538,10
254,165,0,0,6179.5,30873,9,6,3,60624,114,91
11,171,40,155,137.52,33233,0,0,0,60000,300,10
11,171,16,713,611.83,26588,24,5,1,60642,590,85
11,171,19,509,201.22,33233,0,0,0,60000,300,10
22,174,101,574,8016.98,33544,16,6,0,60617,782,13
11,171,92,592,20082.5,32561,0,0,0,60000,157,12
11,171,301,275,13771.45,40336,19,12,1,60477,312,13
11,171,41,398,85749,26235,10,16,1,60106,848,98
11,181,87,358,6.99,33233,0,0,0,60000,300,10
254,165,0,0,1076.84,30826,9,6,3,60618,114,91
11,171,89,474,257.3,33233,0,0,0,60000,300,10
11,171,20,805,1764.64,33233,0,0,0,60000,300,10
188,189,0,0,132350.03,33926,11,1,1,60106,45,13
11,181,1,421,43165.63,30586,14,12,1,60477,994,11
184,178,0,0,899442.12,32460,3,1,1,60462,918,12
11,181,41,287,84,33233,0,0,0,60000,300,10
11,171,90,878,912,20418,0,0,0,60000,431,74
22,184,800,22,9979.75,50118,36,6,0,60647,617,33
241,174,0,0,4009.74,36727,16,6,0,60613,888,17
11,171,87,509,73.98,33233,0,0,0,60000,300,10
11,181,300,83,2697,62053,2,3,1,60035,361,38
184,178,0,0,34335.36,44315,3,2,2,60674,423,94
250,175,0,0,13537.51,32291,4,6,0,60640,173,13
11,171,87,45,11.02,33233,0,0,0,60000,300,10
11,181,28,754,6419.25,32413,3,5,1,60612,16,12
11,171,89,538,76044,33232,0,0,0,60000,508,10
248,175,0,0,16891,50120,36,6,0,60640,622,33
11,171,29,737,6981.66,24027,10,5,1,60609,610,86
22,174,102,414,9223.74,33733,16,6,0,60613,139,14
11,161,18,489,3484.7,18086,10,16,1,33178,507,65
22,185,2,425,5294.16,44145,4,6,0,60643,914,30
184,178,0,0,43750,33505,3,7,0,60661,750,13
250,165,0,0,1838.45,31510,4,6,1,60604,940,12
11,171,28,632,49768.86,18086,10,16,1,33178,507,65
11,181,41,391,700,34212,0,0,0,60000,716,14
11,171,18,361,66525.6,32019,3,12,1,60623,988,11
270,177,0,0,3466.24,51193,27,6,3,60660,171,12
11,181,29,302,2299,74381,11,12,1,60609,552,50
22,177,0,228,1883.92,51156,27,6,3,60637,171,12
106,171,0,0,1995.49,20293,0,0,0,60000,285,62
11,171,68,500,20973.92,29859,3,12,1,60628,818,10
184,178,0,0,65395.9,30016,3,1,1,60639,59,12
11,171,29,843,375,33461,12,5,1,60614,447,12
184,178,0,0,1343.47,44315,3,2,2,60674,423,94
11,171,69,684,3372.66,28364,12,5,3,60678,380,10
11,181,86,156,4305,61429,14,5,1,60620,464,14
250,165,0,0,27848.17,33339,4,6,0,60608,508,13
11,171,389,72,769.44,26636,2,26,5,60606,803,98
106,181,0,0,11609.99,20293,0,0,0,60000,285,62
11,181,301,670,6139,63022,17,12,1,60604,949,33
11,171,301,907,190.92,25933,2,3,1,60612,756,97
11,161,27,369,130,24835,2,5,1,46406,957,79
11,171,89,818,224.4,28296,7,12,1,11747,538,10
11,171,302,376,1603.55,26633,2,26,5,63150,803,98
11,181,28,648,4572.28,21859,10,16,1,60636,645,66
22,174,100,516,3518.16,33768,0,6,0,60612,154,14
123,172,0,0,2000,62444,6,7,0,60615,66,52
11,171,70,37,840.5,30604,12,5,1,60007,415,12
11,171,28,834,31299.61,26681,10,16,1,55902,377,10
11,171,18,602,141562.5,26094,0,0,0,60000,608,96
11,161,18,458,418.55,19755,12,12,1,60609,123,71
11,181,20,379,184.9,33233,0,0,0,60000,300,10
250,175,0,0,10050.31,32512,4,6,0,60608,173,13
250,175,0,0,1771.75,43687,4,6,1,60625,54,30
11,171,390,241,440,33232,0,0,0,60000,508,10
270,177,0,0,2511.08,51124,27,6,3,60643,171,12
22,184,100,254,-76.88,36728,0,6,0,60612,888,17
250,165,0,0,5287.65,34365,4,6,0,60604,114,15
11,171,67,738,54104.53,28775,0,0,0,60000,144,10
22,185,4,404,5045.05,67664,4,6,0,60612,169,60
11,181,27,180,198.28,30545,12,12,1,60139,487,12
158,176,0,0,247445.44,14026,0,0,0,60000,797,47
184,178,0,0,112335.92,34014,3,8,1,60623,399,12
11,171,87,269,5125,29133,17,5,6,60177,964,10
11,171,389,697,242.5,24084,2,3,1,60630,408,84
11,161,85,723,3485.9,26645,2,26,5,60622,803,98
22,185,1,181,37502.05,68163,4,6,0,60608,169,60
241,174,0,0,5132.67,31661,16,6,0,60608,982,12
184,178,0,0,1738.34,30014,3,1,1,60106,59,12
11,181,86,208,7784.75,30586,14,12,1,60477,994,11
22,175,6,564,3871.1,49033,4,6,0,60155,53,30
11,171,389,183,46.08,19539,0,0,0,60000,519,65
250,165,0,0,7792.25,31202,4,6,0,60608,936,12
22,184,101,172,6828.32,34408,16,6,0,60622,170,15
241,164,0,0,5316.24,36728,0,6,0,60612,888,17
11,171,388,944,546.18,30986,17,12,1,60177,444,12
131,173,0,0,2281.25,30298,0,0,0,60000,834,11
250,165,0,0,4796.07,33389,4,6,0,60608,549,13
11,171,69,319,9150,29859,3,12,1,60628,818,10
11,181,87,379,449.31,32528,17,12,1,60696,654,12
11,181,86,934,2602.08,48198,17,12,1,60177,650,13
184,188,0,0,17704.38,30017,3,1,1,60609,60,12
22,174,101,246,9361.81,31738,16,6,0,60640,995,12
123,172,0,0,68485,60095,6,7,0,60637,684,48
11,171,27,214,1458.81,21860,10,16,1,60638,645,66
184,178,0,0,4016649.04,35771,3,1,0,60062,693,12
22,175,0,267,1416.66,34967,4,6,0,60610,996,15
11,171,388,741,88117.59,14731,2,3,1,60610,318,53
22,185,6,549,2901.69,44231,4,6,0,60604,53,30
250,175,0,0,75774.89,33588,4,6,0,60603,510,13
158,176,0,0,22139.74,14026,0,0,0,60000,797,47
138,174,0,0,15516,30722,12,2,3,80129,471,12
22,185,8,328,10071.42,67722,4,6,0,60629,169,60
22,185,3,271,10901.09,67743,4,6,0,60612,169,60
131,183,0,0,55,49308,0,0,0,60000,509,13
11,171,90,919,14002.5,31005,17,5,1,46310,196,12
22,187,0,595,3372.14,51166,27,6,3,60640,171,12
11,171,31,76,6887.24,49569,12,5,1,60638,124,13
22,185,1,765,3069.71,49624,4,6,0,60661,53,30
11,181,87,647,3.05,33233,0,0,0,60000,300,10
11,171,28,940,390,26775,12,5,1,60155,581,10
11,171,87,126,359.34,26706,14,12,1,60644,854,88
22,185,6,401,8497.92,63527,4,6,0,60644,432,53
11,181,87,733,3097.58,14731,2,3,1,60610,318,53
138,184,0,0,1087.82,30741,11,15,1,60606,299,12
250,175,0,0,14509.53,33352,4,6,0,60630,509,13
11,171,41,954,8300,46453,6,7,0,60622,788,28
135,174,0,0,20489.76,25200,0,0,0,60000,540,95
11,181,17,336,188.91,33233,0,0,0,60000,300,10
11,171,87,826,19880.25,33232,0,0,0,60000,508,10
11,181,85,998,499.35,33233,0,0,0,60000,300,10
22,185,5,425,7563.34,58945,4,6,0,60618,626,46
11,171,31,400,5200,31057,28,5,1,60605,103,81
250,165,0,0,352.06,31428,4,6,0,60641,940,12
241,174,0,0,2152.37,42041,16,6,0,60637,627,23
11,181,87,799,19.49,33233,0,0,0,60000,300,10
250,165,0,0,1728,31191,4,6,0,60608,937,12
131,183,0,0,680,49308,0,0,0,60000,509,13
11,171,31,407,48.47,33233,0,0,0,60000,300,10
22,185,1,18,5544.65,67686,4,6,0,60640,169,60
11,181,27,211,778.65,30545,12,12,1,60139,487,12
11,181,28,515,4768,32679,12,12,1,60693,751,12
11,171,86,487,116.42,28364,12,5,3,60678,380,10
11,171,27,821,970.6,30586,14,12,1,60477,994,11
11,171,300,228,1779.11,30986,17,12,1,60177,444,12
22,175,6,916,22776.44,44150,4,6,0,60622,800,25
11,181,86,972,712.8,32528,17,12,1,60696,654,12
11,181,302,509,2182.8,31862,5,12,1,60628,336,12
188,179,0,0,45728.18,32895,11,8,1,60655,518,12
22,185,6,322,3272.73,44140,4,6,0,60661,913,30
11,181,29,915,528,45947,12,5,1,60804,865,12
22,174,101,54,413.82,31800,16,6,0,60608,6,13
11,181,19,887,1805.7,33233,0,0,0,60000,300,10
11,181,28,375,753.06,19755,12,12,1,60609,123,71
22,174,102,509,12699.96,31989,16,6,0,60637,69,13
11,181,87,669,158.4,29645,26,5,1,60654,806,11
22,185,7,231,13913.33,77840,4,6,0,60603,626,46
11,161,27,646,801.54,33232,0,0,0,60000,508,10
22,184,101,273,103870.4,46036,16,6,0,60653,271,28
11,181,29,405,61588.5,24039,10,5,1,60478,610,86
11,171,92,561,221068.8,15304,2,3,1,60638,53,50
184,188,0,0,24151.9,62969,3,2,2,60654,954,12
185,189,0,0,1198852.45,53081,2,4,1,60631,375,19
138,174,0,0,94079.7,28102,11,15,1,60656,557,10
11,171,42,558,18345,41933,12,12,1,60090,946,12
11,171,69,214,136.52,33233,0,0,0,60000,300,10
106,181,0,0,100425,19393,15,41,3,60197,798,37
22,174,500,11,6632.19,51176,27,6,0,60604,265,35
11,171,300,903,5880,33772,12,5,1,60078,910,12
11,181,27,966,2077.44,26158,12,5,1,60661,394,83
11,171,388,599,11986,26639,2,26,5,60604,805,98
22,185,0,793,12270.86,33353,4,6,0,60618,508,13
11,171,30,272,6476.01,19755,12,12,1,60609,123,71
11,171,31,402,51826.54,18086,10,16,1,33178,507,65
184,188,0,0,9641.46,29937,3,1,1,60106,59,12
106,181,0,0,1314.87,20293,0,0,0,60000,285,62
250,175,0,0,7046.59,32014,4,6,0,60610,59,13
11,171,29,914,202280.76,26235,10,16,1,60106,848,98
106,171,0,0,92,19393,15,41,3,60197,798,37
106,171,0,0,178.34,20293,0,0,0,60000,285,62
241,174,0,0,4587.56,33544,16,6,0,60617,782,13
250,165,0,0,2756.26,33029,4,6,0,60661,450,13
131,163,0,0,873.05,30525,0,0,0,60000,834,11
131,173,0,0,1415.2,30297,0,0,0,60000,834,11
22,185,1,411,673.34,67726,4,6,0,60624,169,60
106,171,0,0,52924.1,19393,15,41,3,60197,798,37
22,175,6,605,-333.94,54950,4,6,0,60608,8,41
11,171,18,83,1312.48,28820,5,12,1,60613,508,11
22,165,0,10,1111,33329,4,6,0,60608,508,13
11,181,16,516,177694.35,24288,31,12,1,60148,170,91
11,181,27,194,32.5,30545,12,12,1,60139,487,12
11,171,29,357,1058.89,49569,12,5,1,60638,124,13
241,174,0,0,2093.86,36728,0,6,0,60612,888,17
22,175,2,34,9463.6,58777,4,6,0,60628,761,45
11,181,87,813,113.56,33233,0,0,0,60000,300,10
11,171,91,398,1262.4,33232,0,0,0,60000,508,10
123,172,0,0,150,61759,6,7,0,60622,114,51
22,184,101,360,3311.36,72887,0,6,0,60657,542,69
188,179,0,0,11585.79,39294,11,1,1,60062,373,13
241,174,0,0,4557.56,31807,16,6,0,60620,8,13
22,175,4,128,63.85,49031,4,6,1,60637,796,25
11,171,29,904,382.16,33469,12,12,1,60609,826,12
167,177,0,0,16550,34461,1,23,2,60302,245,13
106,181,0,0,2199.18,20293,0,0,0,60000,285,62
22,184,101,207,1242.68,72909,0,6,0,60622,584,69
22,175,2,449,4061.05,43656,4,6,0,60647,53,30
11,171,17,807,970,28245,11,12,1,60618,552,10
11,161,23,392,90686.83,14731,2,3,1,60610,318,53
11,181,300,197,771,27434,0,0,0,60000,593,10
11,171,28,194,1978.92,31001,11,12,1,60609,681,11
11,181,302,426,996.55,74381,11,12,1,60609,552,50
11,181,41,327,1031.25,11763,2,7,0,60107,639,46
154,175,0,0,7646,46305,9,40,1,60501,476,13
22,185,2,814,4595.06,68125,4,6,1,60610,857,59
11,181,1,520,35.78,33233,0,0,0,60000,300,10
11,181,87,472,332.9,33233,0,0,0,60000,300,10
11,171,42,899,100000,33323,0,0,0,60000,572,12
250,165,0,0,1396.34,31273,4,6,1,60602,937,12
188,179,0,0,575749.82,33770,11,1,1,60609,46,13
11,181,27,832,153,30871,11,12,1,60639,882,11
11,181,27,63,4200,34964,12,5,1,60126,627,12
11,181,27,17,479.94,33469,12,12,1,60609,826,12
106,181,0,0,36.79,20293,0,0,0,60000,285,62
11,171,30,808,28202.67,18086,10,16,1,33178,507,65
22,174,101,961,894.69,58974,0,6,0,60642,919,46
11,181,2,32,4600,30600,3,12,1,60521,986,11
22,175,1,827,47718.88,35527,4,6,3,60602,549,13
138,164,0,0,331540.76,30741,11,15,1,60606,299,12
11,171,21,115,865.75,24932,3,5,1,60101,364,73
22,174,100,266,514.36,33699,0,6,0,60622,66,14
11,171,93,851,3280190.99,51666,0,0,0,60000,889,29
250,175,0,0,56122.56,33373,4,6,0,60603,508,13
11,181,85,678,123.55,33233,0,0,0,60000,300,10
22,175,5,769,5156.08,43986,4,6,1,60612,796,25
184,188,0,0,49089.31,30016,3,1,1,60639,59,12
250,165,0,0,80,31102,4,6,0,60626,925,12
11,181,86,754,4160.84,28364,12,5,3,60678,380,10
11,171,27,352,3104.29,32909,12,5,1,60004,438,12
11,171,302,858,31238.98,25098,2,26,5,60680,996,89
11,161,85,248,1299,28996,7,3,1,16803,260,11
11,171,302,177,2678.5,31001,11,12,1,60609,681,11
11,171,90,390,1165.9,63191,16,7,0,60000,87,53
11,161,95,712,125.94,33233,0,0,0,60000,300,10
11,181,15,456,42.38,33233,0,0,0,60000,300,10
131,173,0,0,671.25,30525,0,0,0,60000,834,11
184,178,0,0,69500.42,27953,3,2,2,60604,776,97
11,171,28,57,835.83,32909,12,5,1,60004,438,12
11,171,43,173,3297,46807,12,12,1,60007,447,13
11,171,67,771,25867.09,15257,10,16,1,60137,660,56
138,174,0,0,157029,21773,0,19,0,60604,321,83
250,165,0,0,13241.18,32004,4,6,0,60622,59,13
184,178,0,0,31599.7,44315,3,2,2,60674,423,94
11,171,15,322,192.06,33233,0,0,0,60000,300,10
11,171,28,320,34096.59,24025,10,5,1,60609,610,86
138,184,0,0,3974.91,30741,11,15,1,60606,299,12
11,171,41,640,3550,62449,6,7,0,60622,68,52
22,184,101,69,7301.56,50478,16,6,0,60612,300,34
270,177,0,0,3756.37,51199,27,6,3,60628,171,12
11,181,0,118,2343.47,19755,12,12,1,60609,123,71
250,175,0,0,4697.59,49032,4,6,0,60637,53,30
185,179,0,0,1576.64,16031,13,27,3,48126,618,56
11,171,68,260,6316.11,20292,0,0,0,60000,285,62
11,171,69,900,232.15,28775,0,0,0,60000,144,10
11,171,28,297,3788.51,24025,10,5,1,60609,610,86
188,179,0,0,3112.45,39293,11,1,1,60062,373,13
11,171,27,818,932,30544,12,5,1,60617,246,92
11,161,85,975,149.25,24932,3,5,1,60101,364,73
11,171,88,312,1963.5,30937,2,3,6,63146,566,12
184,178,0,0,32394.9,44376,3,2,3,60674,483,10
254,165,0,0,1200,30906,9,6,3,60616,87,90
22,185,5,308,15947.71,67724,4,6,0,60641,169,60
138,174,0,0,110847.33,29707,12,7,0,60693,257,12
11,171,40,131,479.96,38921,11,12,1,60000,948,12
11,171,388,654,1337.6,22216,1,5,1,60461,622,76
22,185,4,929,12069.3,31997,4,6,0,60608,59,13
250,175,0,0,5370.45,55765,4,6,0,60610,53,30
11,181,41,465,13283,27736,2,26,4,63132,666,10
254,165,0,0,1042.91,30882,9,6,3,60620,87,90
11,161,18,718,7.84,33233,0,0,0,60000,300,10
22,174,100,20,25333.51,36727,16,6,0,60613,888,17
254,165,0,0,2031.2,30837,9,6,3,60602,114,91
22,174,100,483,8514.96,31661,16,6,0,60608,982,12
22,185,6,878,301.93,58628,4,6,0,60616,761,45
188,179,0,0,18370.26,26966,11,8,1,60527,899,10
250,175,0,0,17389.99,44227,4,6,0,60644,53,30
131,173,0,0,1251.9,30300,0,0,0,60000,834,11
11,181,301,569,819062.64,26971,2,3,1,60605,753,97
154,185,0,0,2076,47144,9,15,1,60501,476,13
22,175,3,159,5555.62,43836,4,6,1,60623,55,30
11,181,19,289,24290,31031,11,12,1,60604,538,12
11,171,40,121,166.61,33233,0,0,0,60000,300,10
11,171,91,18,640.09,33233,0,0,0,60000,300,10
11,161,25,361,15085.02,12687,12,5,1,60616,767,37
22,185,9,26,835.6,79419,4,6,0,60604,169,60
241,164,0,0,380.06,31805,16,6,0,60622,6,13
131,173,0,0,856.5,30301,0,0,0,60000,834,11
11,171,69,108,17061.34,33265,19,12,1,60515,74,13
11,181,42,779,133.39,33233,0,0,0,60000,300,10
11,181,29,689,4932.54,24027,10,5,1,60609,610,86
11,161,18,59,312.82,24027,10,5,1,60609,610,86
11,171,30,449,444.4,29709,12,5,1,60176,822,11
22,175,4,127,48.23,49031,4,6,1,60637,796,25
22,185,1,384,14454.08,58864,4,6,0,60651,761,45
22,174,100,846,3290.86,33690,16,6,0,60601,64,14
11,171,42,78,2553.12,24027,10,5,1,60609,610,86
11,161,27,150,1219.24,33233,0,0,0,60000,300,10
11,181,86,42,233.03,33233,0,0,0,60000,300,10
11,181,28,422,16499.52,18086,10,16,1,33178,507,65
11,171,91,188,92.61,22216,1,5,1,60461,622,76
22,175,5,527,13008,55772,4,6,0,60620,53,30
11,181,1,593,599.22,33233,0,0,0,60000,300,10
22,177,0,459,6558.7,51189,27,6,3,60611,171,12
22,175,400,430,1994.1,50217,9,6,3,60647,114,91
11,171,301,507,165678.2,19907,13,26,5,60603,693,66
11,171,15,380,34901.85,32341,7,5,1,60617,325,12
