I1,I2,I3,I4,Amm,Contract,Dep,Sprc,PRC,ZIP,SPECcode,SpecNum,Result
241,164,0,0,938.51,33743,16,6,0,60607,145,14,0
131,183,0,0,1900,32230,29,5,1,60654,459,12,1
22,185,4,784,21566.77,32925,4,6,0,60612,59,13,1
250,165,0,0,7078.58,35527,4,6,3,60602,549,13,1
22,185,8,102,5938.93,44136,4,6,0,60640,912,30,1
11,181,19,925,13019.15,14376,18,7,0,60606,546,55,1
22,175,400,561,10515.59,50123,9,6,3,60610,87,90,1
11,171,67,317,439.2,33046,3,12,1,60649,241,12,1
11,171,85,542,299.25,28090,5,5,1,60035,64,11,1
22,175,6,107,2318.15,43692,4,6,1,60628,54,30,1
22,174,100,688,26.21,36728,0,6,0,60612,888,17,0
11,171,92,988,54956,32560,0,0,0,60000,157,12,1
22,175,6,870,1140.58,48790,4,6,0,60603,509,13,1
250,175,0,0,25114.88,33356,4,6,0,60620,508,13,1
22,185,2,449,4520.65,67711,4,6,0,60657,169,60,1
22,175,4,417,3819.16,48792,4,6,0,60626,509,13,1
22,175,0,621,8346.58,32320,4,6,0,60653,173,13,1
11,181,28,334,16823.86,18086,10,16,1,33178,507,65,0
11,181,85,252,188.55,33233,0,0,0,60000,300,10,1
11,171,87,696,185.15,33233,0,0,0,60000,300,10,1
22,175,400,647,1350.72,50012,9,6,3,60620,87,90,1
22,174,102,106,279.17,33695,0,6,0,60613,65,14,1
11,181,28,732,1112.2,19542,10,16,6,30384,143,71,1
11,171,40,152,128.53,33233,0,0,0,60000,300,10,1
22,175,0,831,8625,57876,4,6,0,60619,637,44,1
254,175,0,0,4410.64,50127,9,6,3,60661,87,90,1
250,175,0,0,4956.87,55872,4,6,0,60602,53,30,1
250,175,0,0,3500,44141,4,6,0,60608,914,30,1
250,175,0,0,88188.47,33340,4,6,0,60608,509,13,0
250,175,0,0,502.71,43879,4,6,0,60608,914,30,1
11,181,15,651,68934.15,26598,0,0,0,60000,248,92,1
22,185,8,788,40313.65,58623,4,6,0,60608,761,45,1
11,161,85,333,2055.6,24084,2,3,1,60630,408,84,0
11,171,18,760,20149.36,19651,12,5,1,60612,930,59,0
250,175,0,0,27190.92,26982,4,6,0,60608,223,11,1
11,171,19,289,3515.4,26158,12,5,1,60661,394,83,1
11,171,91,451,1527.2,26994,12,5,1,60055,303,93,1
22,175,400,416,4890,50127,9,6,3,60661,87,90,1
11,171,90,283,80682.5,32040,1,5,1,60649,357,12,0
11,163,27,543,1153.14,32121,17,12,1,60628,484,12,0
250,175,0,0,36660.05,33025,4,6,0,60661,955,12,1
11,171,69,461,4906.18,42507,3,12,1,60617,384,13,1
131,183,0,0,290,30301,0,0,0,60000,834,11,1
11,171,87,649,47.69,33233,0,0,0,60000,300,10,1
22,175,0,975,17889.81,33341,4,6,0,60624,509,13,1
11,181,16,561,2849.8,24932,3,5,1,60101,364,73,0
22,185,3,235,11064.2,32005,4,6,0,60608,59,13,1
11,171,20,513,2300,27839,0,0,0,60000,608,96,1
22,175,6,230,273.94,43770,4,6,1,60603,796,25,1
11,181,27,619,2019.6,17739,10,16,1,60137,126,61,1
250,175,0,0,25792.37,31388,4,6,0,60613,953,12,1
184,178,0,0,46818.21,26684,3,7,0,60612,967,10,1
22,175,6,293,3654.46,31432,4,6,0,60608,940,12,1
22,175,6,260,2711.21,44052,4,6,0,60626,53,30,1
11,181,17,755,170593.33,26632,0,0,0,60000,35,10,1
22,185,8,324,1446.52,67716,4,6,0,60629,169,60,1
11,171,389,585,1501.3,33469,12,12,1,60609,826,12,1
106,181,0,0,91.98,19393,15,41,3,60197,798,37,1
22,185,8,627,2513.55,43879,4,6,0,60608,914,30,1
154,185,0,0,2358,47144,9,15,1,60501,476,13,1
11,181,27,593,1822.3,25325,12,5,1,60608,418,84,1
11,181,302,830,1208,29924,2,3,1,60803,952,11,1
11,181,29,6,8078.4,17739,10,16,1,60137,126,61,1
22,185,2,122,6844.96,67654,4,6,0,60640,169,60,1
11,181,1,933,5.35,33233,0,0,0,60000,300,10,1
22,184,100,982,8706.88,31750,16,6,0,60657,997,12,0
11,181,42,980,7068.82,28777,0,0,0,60000,144,10,1
22,175,3,327,64973.93,31290,4,6,0,60608,940,12,0
22,175,7,180,1472.65,43648,4,6,0,60640,53,30,1
11,171,388,543,1225.1,32528,17,12,1,60696,654,12,1
250,165,0,0,18300.86,33378,4,6,0,60614,549,13,1
11,181,41,541,294.3,33717,0,0,0,60000,479,12,1
22,175,6,377,68068,31999,4,6,0,60612,59,13,1
11,171,86,465,1412.44,33232,0,0,0,60000,508,10,1
11,171,41,558,188.13,33233,0,0,0,60000,300,10,1
11,171,92,833,1054.4,28775,0,0,0,60000,144,10,1
123,172,0,0,1250,62442,6,7,0,60617,66,52,1
11,181,1,449,4410,53096,0,0,0,60000,609,13,1
250,145,0,0,2653.28,28393,4,6,0,60639,850,11,1
11,171,86,85,1839.99,33233,0,0,0,60000,300,10,1
184,168,0,0,3862.14,27750,3,2,3,60606,482,94,1
106,181,0,0,193711.91,19393,15,41,3,60197,798,37,1
22,185,6,32,6157.07,67718,4,6,0,60629,169,60,1
22,175,1,547,3103.7,31341,4,6,0,60657,941,12,1
184,188,0,0,161130,69569,3,1,0,60646,545,21,1
11,181,1,600,19200,34346,3,5,1,60103,836,12,1
11,171,67,659,231,33233,0,0,0,60000,300,10,1
188,179,0,0,259573.58,33926,11,1,1,60106,45,13,1
167,187,0,0,15100,34446,1,23,2,60628,245,13,1
11,171,30,359,1194.93,17739,10,16,1,60137,126,61,1
11,171,20,855,471,28296,7,12,1,11747,538,10,1
185,179,0,0,143891.27,48370,2,4,1,60609,8,21,0
106,171,0,0,1015.29,20293,0,0,0,60000,285,62,1
22,185,4,693,2783.34,73422,4,6,0,60606,857,59,1
11,171,69,822,99.87,33233,0,0,0,60000,300,10,1
11,171,20,135,40659.05,26449,2,3,1,60007,189,10,1
11,181,29,607,2.85,33233,0,0,0,60000,300,10,1
188,189,0,0,18567.35,24377,11,2,2,60606,7,90,1
11,181,27,352,10510.14,21859,10,16,1,60636,645,66,0
11,171,87,674,81,30871,11,12,1,60639,882,11,1
184,178,0,0,3675.79,44315,3,2,2,60674,423,94,0
11,181,19,99,156.43,30871,11,12,1,60639,882,11,1
11,171,89,500,2313.84,33833,6,5,1,60616,22,13,1
250,175,0,0,14505.97,33579,4,6,0,60637,510,13,1
184,168,0,0,8779.15,18636,3,2,5,60000,339,63,1
11,171,303,410,2669.69,64418,2,3,1,60631,607,11,1
250,175,0,0,91911.9,33591,4,6,0,60640,510,13,1
22,174,102,244,63.39,33766,0,6,0,60612,153,14,0
254,175,0,0,512.05,50012,9,6,3,60620,87,90,1
11,171,28,254,1580,24519,10,5,1,60133,126,81,1
22,185,3,625,11563.92,58802,4,6,0,60625,761,45,1
250,175,0,0,20609.65,31305,4,6,0,60621,940,12,1
22,184,100,55,14808.43,33746,16,6,0,61101,146,14,1
184,188,0,0,1154.4,29714,3,2,2,52761,283,11,1
250,175,0,0,12000,43967,4,6,0,60641,913,30,1
11,181,0,418,6360,34955,3,12,1,60617,731,12,1
11,161,86,421,742.4,28295,7,12,1,60628,538,10,0
22,174,101,638,587.94,31766,16,6,0,60628,0,13,0
11,181,27,705,247.5,20497,10,16,1,60534,645,66,0
11,171,30,288,342.02,33447,2,3,1,60090,118,13,1
22,185,0,791,67453.22,33343,4,6,0,60616,508,13,0
11,161,85,776,1888.5,41073,16,7,0,60693,545,22,1
11,181,301,530,1223,35679,2,22,1,60617,145,13,1
184,188,0,0,6110.79,29895,3,7,0,91106,340,12,1
22,185,8,79,14873.88,67756,4,6,0,60640,169,60,1
188,179,0,0,82682.64,40652,11,1,1,60639,456,13,1
11,181,16,378,592.05,24932,3,5,1,60101,364,73,0
241,174,0,0,1011.14,31679,0,6,0,60604,986,12,1
184,178,0,0,9635.49,29716,3,2,2,60606,283,11,1
250,165,0,0,422.5,31264,4,6,1,60653,937,12,1
138,174,0,0,20.36,29707,12,7,0,60693,257,12,1
11,181,41,653,79.9,32528,17,12,1,60696,654,12,1
22,187,0,130,6456.47,51201,27,6,3,60629,171,12,1
11,181,87,664,6.75,33233,0,0,0,60000,300,10,1
188,179,0,0,114027.42,27444,11,2,5,48267,868,10,1
11,181,302,46,1583.88,41635,12,12,1,60604,175,12,0
270,177,0,0,2884.63,51182,27,6,3,60603,171,12,1
250,175,0,0,2042.72,34972,4,6,0,60602,996,15,1
184,168,0,0,18818.44,18649,3,2,5,63102,339,63,0
250,175,0,0,2949.34,31430,4,6,0,60340,940,12,1
250,165,0,0,863.59,33014,4,6,0,60661,937,12,0
11,161,18,429,20826,24026,10,5,1,60415,610,86,0
11,171,32,156,355,24845,6,5,1,60428,439,84,1
22,175,4,917,694.75,31188,4,6,0,60628,936,12,1
11,171,20,546,154324.67,30012,18,7,0,60612,387,12,1
11,171,29,906,1876.94,24027,10,5,1,60609,610,86,1
11,171,31,523,3999.88,19651,12,5,1,60612,930,59,0
11,171,20,144,3750,23815,18,7,0,60601,276,92,1
22,185,7,660,3082.63,67583,4,6,0,60605,857,59,0
11,171,67,697,3150,33033,3,12,1,60628,731,12,1
11,161,25,164,10425.92,31001,11,12,1,60609,681,11,0
11,171,389,763,722.7,22875,2,26,5,60616,975,79,1
11,171,71,208,63172.18,3718,23,7,0,60605,736,17,1
188,179,0,0,28510.44,28469,11,2,2,60602,56,11,1
250,175,0,0,4550,31578,4,6,0,60659,729,12,1
11,181,87,653,1141.6,26051,12,12,1,60618,14,90,1
185,189,0,0,594652.01,47187,2,4,0,60656,55,15,1
11,171,68,656,39280.92,26901,3,12,1,60455,208,92,1
22,175,0,875,29491.82,32000,4,6,0,60603,59,13,1
22,175,7,303,1014453.9,49649,4,6,0,60601,173,33,1
22,187,0,230,5382.5,51192,27,6,3,60660,171,12,1
11,181,17,477,2003.64,28295,7,12,1,60628,538,10,0
11,181,300,406,67302.5,63622,2,3,1,60106,934,37,1
11,161,86,34,60871.34,26601,2,26,3,60602,719,97,0
11,171,389,752,48640.06,14731,2,3,1,60610,318,53,0
254,175,0,0,2825.53,50231,9,6,3,60659,114,91,1
11,171,29,978,1610.4,21860,10,16,1,60638,645,66,0
11,171,41,696,63937.8,46807,12,12,1,60007,447,13,1
11,171,300,620,363.44,40336,19,12,1,60477,312,13,1
22,185,400,465,3205.92,50012,9,6,3,60620,87,90,1
22,174,100,65,10990.41,56232,0,6,0,60601,80,43,1
270,177,0,0,4674.65,51166,27,6,3,60640,171,12,1
250,175,0,0,323213.82,33041,4,6,0,60640,59,13,1
157,176,0,0,907.7,19393,15,41,3,60197,798,37,1
11,171,67,871,89.19,28466,0,0,0,60000,298,10,1
11,181,85,946,296.76,33233,0,0,0,60000,300,10,1
11,181,42,743,339.89,28364,12,5,3,60678,380,10,0
11,181,27,157,143630.5,18085,10,16,1,33178,138,61,0
241,164,0,0,7636.7,38276,0,6,0,60302,479,19,1
11,171,87,260,45600,46810,12,12,1,60517,447,13,1
185,179,0,0,358.65,20074,2,27,5,60601,158,21,0
188,179,0,0,13124.63,19339,11,2,3,60601,701,67,1
11,161,85,722,5660.77,27873,2,26,3,60602,334,10,0
11,181,28,319,2749.14,21860,10,16,1,60638,645,66,0
106,171,0,0,5300,19393,15,41,3,60197,798,37,1
188,179,0,0,32634.82,32521,11,1,1,60656,973,12,1
22,185,4,95,1801.99,67654,4,6,0,60640,169,60,1
22,185,7,50,1719.15,58889,4,6,0,60651,626,46,1
11,181,42,385,125.05,28775,0,0,0,60000,144,10,1
11,181,302,459,7421.51,33469,12,12,1,60609,826,12,1
188,179,0,0,252122.77,39293,11,1,1,60062,373,13,0
22,175,1,801,6235.58,52750,4,6,0,60640,510,13,1
22,174,101,909,4393.08,33765,0,6,0,60612,153,14,0
22,174,102,901,1757.84,33687,16,6,0,60608,64,14,1
254,175,0,0,3668.15,50238,9,6,3,60629,115,91,1
11,171,90,626,399.48,33233,0,0,0,60000,300,10,1
185,179,0,0,6334.22,18654,3,2,5,75373,339,63,1
11,171,89,939,15421.25,28819,5,12,1,60501,508,11,0
11,171,42,239,45518.65,19938,11,5,1,60608,459,64,0
11,171,30,820,102980,49444,0,0,0,60000,284,13,1
11,171,89,150,2655.78,31016,16,7,0,60677,890,12,1
11,171,87,219,41500,24576,14,12,6,63146,859,88,0
22,174,102,521,5567.58,33733,16,6,0,60613,139,14,0
11,181,29,61,3516.41,49569,12,5,1,60638,124,13,1
11,171,41,181,2124.73,25098,2,26,5,60680,996,89,0
138,164,0,0,1656.25,29554,12,2,2,60540,56,11,1
131,173,0,0,910,30299,0,0,0,60000,834,11,1
167,187,0,0,17427,34452,1,23,2,60631,245,13,0
11,171,32,149,450,24845,6,5,1,60428,439,84,1
11,161,92,16,20205,24835,2,5,1,46406,957,79,1
131,183,0,0,355,22216,1,5,1,60461,622,76,1
11,171,93,910,20963.83,24512,11,12,1,60120,472,84,0
22,187,0,88,1989.53,51188,27,6,3,60653,171,12,1
106,181,0,0,76.23,19393,15,41,3,60197,798,37,1
11,181,87,607,14.58,33233,0,0,0,60000,300,10,1
22,185,2,321,7698.9,48792,4,6,0,60626,509,13,1
11,181,41,241,589.11,63664,43,12,1,55044,673,12,1
11,171,91,862,41652,59798,9,7,0,60639,189,48,1
11,181,29,350,3918.95,29709,12,5,1,60176,822,11,1
106,171,0,0,4832.83,19393,15,41,3,60197,798,37,1
106,161,0,0,80.9,19393,15,41,3,60197,798,37,1
11,171,27,559,9407.79,28296,7,12,1,11747,538,10,1
22,185,6,446,14453.8,31997,4,6,0,60608,59,13,1
11,171,19,882,3031199.38,6970,18,7,0,60062,964,29,0
11,171,17,488,126,28245,11,12,1,60618,552,10,1
22,174,101,947,4717.9,33520,16,6,0,60608,754,13,0
11,171,86,877,99.87,33233,0,0,0,60000,300,10,1
11,171,40,78,45669.94,30986,17,12,1,60177,444,12,0
11,181,17,873,165.4,75071,11,5,1,60101,565,21,1
184,178,0,0,52338.8,29714,3,2,2,52761,283,11,1
11,161,24,909,81.25,24932,3,5,1,60101,364,73,0
185,179,0,0,18610,41499,2,4,1,60422,474,13,1
250,175,0,0,8380.37,32002,4,6,0,60622,59,13,1
22,185,8,462,-1071.03,67658,4,6,0,10173,169,60,1
106,171,0,0,2985.62,19393,15,41,3,60197,798,37,1
11,181,28,441,289.87,29709,12,5,1,60176,822,11,1
22,175,1,601,4451.96,32096,4,6,0,10173,109,13,1
131,183,0,0,301.25,30297,0,0,0,60000,834,11,1
11,171,300,176,1134.4,30545,12,12,1,60139,487,12,0
250,165,0,0,930.93,31396,4,6,0,60641,940,12,1
184,178,0,0,68657.9,26684,3,7,0,60612,967,10,1
185,179,0,0,2833.98,19393,15,41,3,60197,798,37,1
11,171,29,625,2895,34964,12,5,1,60126,627,12,1
184,178,0,0,327.72,26684,3,7,0,60612,967,10,1
11,171,89,557,16861.05,33717,0,0,0,60000,479,12,1
250,165,0,0,700,33338,4,6,0,60608,509,13,1
11,171,300,841,1883823.92,25743,0,0,0,60000,254,92,1
11,181,0,669,1972.63,27564,3,5,1,60612,607,56,0
11,181,1,433,9832.88,28775,0,0,0,60000,144,10,1
188,169,0,0,1074416.01,38151,11,1,1,60623,456,13,1
11,171,87,898,185.2,33232,0,0,0,60000,508,10,1
11,171,20,909,547.5,30586,14,12,1,60477,994,11,0
188,189,0,0,1091.48,24365,11,2,2,64180,7,90,1
22,185,5,933,5841.96,43876,4,6,0,60626,913,30,1
11,161,85,384,133.41,25098,2,26,5,60680,996,89,0
185,179,0,0,620.8,19393,15,41,3,60197,798,37,1
22,185,1,368,7000,43861,4,6,0,60628,914,30,1
138,174,0,0,72.49,30223,12,7,0,53201,471,12,1
22,185,9,257,10176.12,58940,4,6,0,60607,626,46,1
11,171,30,852,203.98,33461,12,5,1,60614,447,12,1
11,181,28,713,532.64,33233,0,0,0,60000,300,10,1
11,161,27,461,13811.46,26901,3,12,1,60455,208,92,1
138,184,0,0,1779.16,22223,18,19,0,60601,637,86,0
131,183,0,0,2181.53,20293,0,0,0,60000,285,62,1
22,175,1,866,6970.84,31486,4,6,0,60608,739,12,1
11,181,19,878,2743.74,75071,11,5,1,60101,565,21,1
241,164,0,0,102481.36,38276,0,6,0,60302,479,19,1
11,171,41,907,2000,63826,6,7,0,60606,889,53,1
11,171,42,296,37.9,33233,0,0,0,60000,300,10,1
22,185,4,20,28859.15,33329,4,6,0,60608,508,13,1
184,178,0,0,176917.12,37893,3,2,3,60606,431,13,1
188,169,0,0,3010.02,24368,11,2,2,60604,7,90,0
184,178,0,0,43321.73,18638,3,2,5,60610,339,63,0
11,181,19,113,67465.69,33454,11,12,1,21275,824,12,1
188,189,0,0,32009.16,24382,11,2,2,60012,7,90,1
250,165,0,0,10114.3,31199,4,6,0,60640,937,12,1
11,181,42,346,2096.24,63664,43,12,1,55044,673,12,1
11,171,29,782,64018.65,18086,10,16,1,33178,507,65,0
11,181,87,603,454.8,28295,7,12,1,60628,538,10,0
11,171,29,505,4096.2,20155,10,16,1,60131,645,66,1
11,181,41,928,1245,32560,0,0,0,60000,157,12,1
154,175,0,0,9484,47754,9,15,1,60501,476,13,1
11,171,27,292,1031.08,29709,12,5,1,60176,822,11,1
250,165,0,0,178143.77,33371,4,6,0,60612,508,13,1
11,171,68,873,1339.47,28775,0,0,0,60000,144,10,1
22,175,1,329,1655.54,44016,4,6,1,60608,796,25,1
106,171,0,0,8572.52,19393,15,41,3,60197,798,37,1
11,181,15,777,3123.18,29859,3,12,1,60628,818,10,1
11,181,85,542,155.23,33233,0,0,0,60000,300,10,1
11,171,300,645,22840.93,30930,2,26,3,60630,811,11,1
11,171,18,363,6237.35,33717,0,0,0,60000,479,12,1
184,178,0,0,2313.59,30023,3,1,1,60639,60,12,1
22,185,0,902,165468.09,28488,4,6,0,60622,850,11,0
11,171,91,609,36075,29140,11,12,1,49727,594,11,0
241,174,0,0,8485.68,33752,0,6,0,60612,149,14,0
22,187,0,488,2083.34,51155,27,6,3,60640,171,12,1
22,185,4,347,5183.34,33347,4,6,0,60651,508,13,1
11,171,31,308,1063.46,33233,0,0,0,60000,300,10,1
11,171,389,311,3257.2,27870,2,26,3,60631,334,10,0
22,185,400,474,859.62,50112,9,6,3,60629,87,90,1
11,171,15,607,512.16,33233,0,0,0,60000,300,10,1
22,185,7,830,6652.83,67386,4,6,1,60640,857,59,1
250,165,0,0,11598.11,31305,4,6,0,60621,940,12,1
241,174,0,0,3290.86,33690,16,6,0,60601,64,14,1
184,188,0,0,43168.4,32256,3,2,2,60018,494,11,1
11,161,92,217,3157.35,19835,12,5,1,60563,617,66,0
22,184,101,213,3538.52,32889,0,6,0,60614,345,13,1
131,173,0,0,1900,32230,29,5,1,60654,459,12,1
11,171,303,275,27952,44827,2,3,1,60007,582,13,1
184,178,0,0,3631.86,30014,3,1,1,60106,59,12,1
250,175,0,0,3733.62,43867,4,6,1,60616,796,25,1
250,175,0,0,1170.28,49415,4,6,0,60618,729,12,1
22,175,6,702,72930,33329,4,6,0,60608,508,13,1
250,175,0,0,2821.57,43655,4,6,0,60604,53,30,1
22,174,800,23,10125,50111,36,6,0,60646,610,33,0
22,174,101,12,3039.33,33547,16,6,0,60616,789,13,1
22,175,400,291,8926.22,50330,9,6,3,60622,496,11,1
188,169,0,0,35605.36,24361,11,2,2,53214,7,90,1
250,175,0,0,9414.68,33826,4,6,0,60640,510,13,1
250,175,0,0,3689.99,31460,4,6,0,60602,942,12,1
11,171,302,928,1011.75,33232,0,0,0,60000,508,10,1
11,181,29,119,8340.49,21859,10,16,1,60636,645,66,0
188,189,0,0,6357.48,19393,15,41,3,60197,798,37,1
11,171,21,418,42234.85,24932,3,5,1,60101,364,73,0
22,175,3,489,20972.38,31453,4,6,0,60603,729,12,1
185,179,0,0,97.29,20074,2,27,5,60601,158,21,0
250,175,0,0,1330.88,44051,4,6,0,60610,53,30,1
11,171,88,328,41045.8,30271,2,26,5,60631,377,11,1
154,175,0,0,21693,47754,9,15,1,60501,476,13,1
11,181,87,310,199.74,33233,0,0,0,60000,300,10,1
11,171,30,508,3128.14,32556,3,5,1,60203,16,12,1
11,171,15,490,6160.65,24932,3,5,1,60101,364,73,0
11,171,16,375,134.95,33233,0,0,0,60000,300,10,1
167,187,0,0,35750,34452,1,23,2,60631,245,13,0
250,175,0,0,2345.36,31348,4,6,0,60647,941,12,1
11,161,26,958,77243.1,34001,0,0,0,60000,71,12,1
11,171,17,300,725000,30993,9,7,0,60601,862,12,1
11,171,88,182,570.07,33233,0,0,0,60000,300,10,1
11,171,94,133,83800.44,24512,11,12,1,60120,472,84,0
250,165,0,0,631.12,31351,4,6,0,60659,940,12,1
11,171,32,170,2492,24845,6,5,1,60428,439,84,1
11,171,43,79,7400,70384,6,7,0,60616,804,64,0
250,165,0,0,2694.36,33336,4,6,0,60608,509,13,1
131,183,0,0,812.56,30525,0,0,0,60000,834,11,1
250,145,0,0,29651.43,28852,4,6,3,60622,16,12,1
250,175,0,0,1671.58,31218,4,6,0,60626,938,12,0
241,174,0,0,12799.21,31705,16,6,0,60640,990,12,0
11,181,29,841,103.16,30586,14,12,1,60477,994,11,0
241,164,0,0,11630.89,36728,0,6,0,60612,888,17,0
11,171,41,830,1500,63410,6,7,0,60604,352,53,1
188,179,0,0,1763.69,19348,11,2,3,60606,701,67,0
11,181,17,281,15331.95,24932,3,5,1,60101,364,73,0
11,171,27,551,42345.68,18085,10,16,1,33178,138,61,0
11,181,301,458,626.7,28295,7,12,1,60628,538,10,0
22,185,4,670,8301.22,63444,4,6,0,60640,388,53,1
11,181,19,47,910.5,41933,12,12,1,60090,946,12,1
185,189,0,0,704500,52437,13,4,0,60661,903,12,1
11,181,87,402,28.95,33233,0,0,0,60000,300,10,1
11,171,16,584,100000,3718,23,7,0,60605,736,17,1
11,181,27,775,165,33233,0,0,0,60000,300,10,1
22,175,3,350,17986.73,58785,4,6,0,60626,626,46,1
250,165,0,0,2736.85,31209,4,6,3,60607,937,12,1
250,145,0,0,7584,27129,4,6,0,60612,248,11,1
11,181,302,8,7916.75,26652,2,26,5,60611,805,98,1
11,171,68,892,35000,27765,0,0,0,60000,939,10,1
11,171,300,799,1501,35679,2,22,1,60617,145,13,1
11,171,389,972,32767.36,27870,2,26,3,60631,334,10,0
11,171,87,267,184.88,28296,7,12,1,11747,538,10,1
11,161,26,891,11934.03,12687,12,5,1,60616,767,37,0
22,185,8,80,3920.99,68133,4,6,1,60608,857,59,0
11,171,93,832,3400,28161,18,7,0,60603,715,11,1
106,171,0,0,3250.07,20293,0,0,0,60000,285,62,1
22,174,101,721,7209.69,31703,0,6,0,60612,990,12,0
11,171,42,878,103.84,33233,0,0,0,60000,300,10,1
11,171,28,700,2539.76,32909,12,5,1,60004,438,12,1
11,181,27,686,949.4,17739,10,16,1,60137,126,61,1
11,171,15,800,11100,28466,0,0,0,60000,298,10,1
11,181,27,815,30.38,30871,11,12,1,60639,882,11,1
22,185,6,786,15536.34,67631,4,6,0,60624,169,60,1
11,171,31,614,669.15,20336,10,16,1,60636,645,66,0
188,189,0,0,723992.06,33926,11,1,1,60106,45,13,1
154,175,0,0,379,46305,9,40,1,60501,476,13,1
250,175,0,0,181851.02,33343,4,6,0,60616,508,13,0
11,161,85,264,1299,28996,7,3,1,16803,260,11,1
188,189,0,0,23120.66,58087,11,2,5,80021,942,69,1
250,175,0,0,8971.21,31466,4,6,0,60608,946,12,1
11,171,16,108,12962.62,30280,3,5,1,60628,454,10,1
11,171,27,841,41063.35,26941,12,5,6,53212,413,94,1
11,171,17,182,1714.02,32983,11,12,1,60604,671,12,1
11,171,90,270,4531.8,30301,0,0,0,60000,834,11,1
11,171,16,144,39834.76,29440,11,12,1,77098,478,11,1
188,179,0,0,93534.42,24393,11,2,2,60611,7,90,1
11,181,20,508,12.06,33233,0,0,0,60000,300,10,1
188,189,0,0,129894.34,24367,11,2,2,60517,7,90,1
11,171,20,132,2432.91,19651,12,5,1,60612,930,59,0
250,175,0,0,3526.31,31432,4,6,0,60608,940,12,1
11,171,92,157,196,26775,12,5,1,60155,581,10,0
11,171,302,142,38888.89,28297,2,26,3,60000,924,99,1
11,181,16,261,701.1,28295,7,12,1,60628,538,10,0
11,181,19,465,66434.72,31860,11,12,1,60000,353,12,1
250,175,0,0,3970.84,34973,4,6,0,60615,996,15,1
250,175,0,0,12699.9,33352,4,6,0,60630,509,13,0
11,171,93,348,2291.59,40336,19,12,1,60477,312,13,1
11,161,85,502,1900.29,28296,7,12,1,11747,538,10,1
241,164,0,0,511.61,33743,16,6,0,60607,145,14,0
11,171,301,883,1680,47594,2,3,1,60630,282,13,1
22,175,1,194,1381.05,33014,4,6,0,60661,937,12,0
158,186,0,0,525.92,14026,0,0,0,60000,797,47,1
11,181,17,934,12359.48,24512,11,12,1,60120,472,84,0
250,165,0,0,4902.58,28405,4,6,0,60618,850,11,1
123,172,0,0,4000,61988,6,7,0,60608,445,51,1
11,181,15,840,2882.88,12687,12,5,1,60616,767,37,0
